"","customer_no","count_enquiry_recency_365","mean_diff_open_enquiry_dt","max_freq_enquiry","count_enquiry_recency_90","perc_unsecured_others"
"1","1","1","1443.5","10","0","0.0555555555555556"
"2","2","19","812.485294117647","51","2","0.0588235294117647"
"3","3","0","438","1","0","1"
"4","4","0","1920.82352941176","51","0","0.0882352941176471"
"5","5","0","1497.5","10","0","0"
"6","6","3","1725.37037037037","2","0","0.111111111111111"
"7","7","0","3258","10","0","0"
"8","8","6","1158.58823529412","1","0","0.176470588235294"
"9","9","6","891.473684210526","1","0","0.157894736842105"
"10","10","7","897.571428571429","1","1","0.0476190476190476"
"11","11","0","1605.64","10","0","0.12"
"12","12","9","612.653846153846","51","1","0.153846153846154"
"13","13","1","1697.63636363636","10","0","0.0454545454545455"
"14","14","4","937.409090909091","10","0","0.0454545454545455"
"15","15","0","2211","1","0","0.166666666666667"
"16","16","10","745.636363636364","51","1","0.136363636363636"
"17","17","8","1117.2","51","4","0.142857142857143"
"18","18","0","1941.44444444444","10","0","0.222222222222222"
"19","19","2","1896.6","10","2","0"
"20","20","5","1122.8","1","0","0.133333333333333"
"21","21","0","1947.22222222222","10","0","0.222222222222222"
"22","22","","","","",""
"23","23","3","1133.57142857143","1","0","0.19047619047619"
"24","24","1","1854.76923076923","0","1","0.153846153846154"
"25","25","0","1186","0","0","0"
"26","26","1","453.5","0","1","0"
"27","27","3","171.666666666667","5","1","0.333333333333333"
"28","28","1","1316.45454545455","10","1","0.136363636363636"
"29","29","0","1255.77777777778","10","0","0.333333333333333"
"30","30","0","1093","0","0","0.333333333333333"
"31","31","1","1824.18181818182","10","0","0.272727272727273"
"32","32","5","90","10","2","0"
"33","33","0","2383","10","0","0.2"
"34","34","1","1959","10","0","0.1"
"35","35","4","399.727272727273","2","1","0.181818181818182"
"36","36","0","2388.42857142857","0","0","0.142857142857143"
"37","37","1","1799.88888888889","0","0","0.222222222222222"
"38","38","0","870","2","0","0.5"
"39","39","0","2180.1","10","0","0.2"
"40","40","1","2106.6","10","0","0"
"41","41","0","1892.33333333333","10","0","0"
"42","42","1","783","52","0","0.6"
"43","43","25","1095.76576576577","1","2","0.045045045045045"
"44","44","2","1501.52","2","2","0.12"
"45","45","2","1583.64705882353","10","1","0.117647058823529"
"46","46","1","1659.33333333333","12","0","0.166666666666667"
"47","47","0","1785.66666666667","10","0","0"
"48","48","15","1227.52136752137","5","2","0.0256410256410256"
"49","49","8","925.5","10","2","0.0714285714285714"
"50","50","5","1383.2972972973","0","1","0.108108108108108"
"51","51","10","1627.37113402062","10","2","0.0412371134020619"
"52","52","1","1034.875","12","0","0.25"
"53","53","7","1819.4","10","0","0.0888888888888889"
"54","54","6","719.619047619048","10","0","0.0476190476190476"
"55","55","0","1809","10","0","0"
"56","56","0","1063.22222222222","5","0","0.111111111111111"
"57","57","9","1269.67857142857","10","1","0.0714285714285714"
"58","58","0","2618","1","0","0.333333333333333"
"59","59","12","621.470588235294","10","4","0.235294117647059"
"60","60","14","1326.43076923077","5","7","0.0769230769230769"
"61","61","3","278","10","0","0"
