"","customer_no","payment_history_avg_dpd_0_29_bucket","total_diff_lastpaymt_opened_dt","min_months_last_30_plus","utilisation_trend","ratio_currbalance_creditlimit","mean_diff_lastpaymt_opened_dt","payment_history_mean_length"
"1","1","0.166666666666667","19815","1","13.5134328358209","7.0371","1165.58823529412","41.5"
"2","2","","4070","36","2.000002","0.030754","2035","108"
"3","3","1","2454","36","","","2454","108"
"4","4","0.352941176470588","42797","1","7.80648535564854","1.93051150627615","2674.8125","62.4705882352941"
"5","5","0.285714285714286","4041","2","","","673.5","61.7142857142857"
"6","6","0.611111111111111","47094","1","9.4370582278481","10.9530867663982","1569.8","47.1666666666667"
"7","7","0.142857142857143","17761","9","5.29491150442478","0.226345132743363","2537.28571428571","79.2857142857143"
"8","8","0.4","29613","1","4.62958115183246","24.4835584642234","2277.92307692308","52"
"9","9","0.5","12636","1","2.3268640776699","22.8586343042071","2527.2","62.5"
"10","10","0.5","21912","1","19.2","0.611651851851852","1992","68.5"
"11","11","0.388888888888889","21693","1","3.25070975463794","0.346349491322561","1276.05882352941","67.3333333333333"
"12","12","0.7","11177","1","5.00002222222222","16.6277533333333","1117.7","50.1"
"13","13","0.25","20868","1","4.45513021491783","0.342596713021492","1391.2","58.5"
"14","14","0.777777777777778","3469","1","3.61494661921708","0.142010676156584","495.571428571429","40.3333333333333"
"15","15","1","1556","1","","","778","48"
"16","16","0.263157894736842","39932","1","14.4496663886572","46.7311943286072","1050.84210526316","55.1052631578947"
"17","17","0.333333333333333","8449","0","2.58","0.91106","2112.25","67.5"
"18","18","0.5","31788","0","","","1986.75","61.5"
"19","19","0.571428571428571","17648","2","5.36022099447514","0.577792817679558","1260.57142857143","55.2857142857143"
"20","20","0.5","8178","3","8.4","7.78508","1363","54"
"21","21","0.571428571428571","15303","14","2.60438596491228","0.0725593984962406","2186.14285714286","90"
"22","22","0.2","9117","1","","","1823.4","25.8"
"23","23","0.75","9647","1","","","1205.875","52.875"
"24","24","0.25","15486","0","12.0012","35.5757","1290.5","51.5"
"25","25","0.615384615384615","18684","0","7.74864864864865","0.603899514899515","2335.5","38.5384615384615"
"26","26","0.416666666666667","19337","1","9.2027027027027","-0.0474256756756757","1611.41666666667","50.5"
"27","27","0.25","11433","1","5.38600444444444","0.256015555555556","2858.25","63"
"28","28","0.461538461538462","12327","1","5.29192954784437","5.57564984227129","1232.7","78.2307692307692"
"29","29","0.4","6510","2","3.27272727272727","0.575021818181818","1302","90.6"
"30","30","","1217","28","","","1217","84"
"31","31","0.25","3848","0","11.2","5.87875833333333","641.333333333333","51.375"
"32","32","1","4763","4","1.46347305389222","0.243329341317365","1587.66666666667","23"
"33","33","0.2","32711","0","3.85183415953132","-0.00781703470031546","1635.55","78.75"
"34","34","0.428571428571429","12092","12","5.5","0.780190476190476","2015.33333333333","83.5714285714286"
"35","35","0.666666666666667","9902","1","10.8000286624204","173.067719745223","1100.22222222222","45.6666666666667"
"36","36","0.125","16253","4","6.40328542094456","0.0677535934291581","2321.85714285714","69"
"37","37","0.4","6711","8","","","1342.2","80.4"
"38","38","0.333333333333333","4426","21","","","1475.33333333333","88"
"39","39","0.5","11443","1","6.53333333333333","4.73831555555556","1271.44444444444","63.9"
"40","40","0.6","3574","3","2.63335704125178","0.0174110953058321","1191.33333333333","69"
"41","41","0.230769230769231","17317","1","4.212","8.227596","1332.07692307692","56.0769230769231"
"42","42","0.0666666666666667","21080","2","9.75","48.470805","1505.71428571429","58.4"
"43","43","0.351851851851852","43431","0","18","50.1627416666667","819.452830188679","62.8888888888889"
"44","44","0.5","17332","0","5.04118235294118","1.90903882352941","1733.2","79.5"
"45","45","0.333333333333333","27313","1","5.08958333333333","6.98765740740741","1365.65","70"
"46","46","","1686","4","","","562","27"
"47","47","1","539","36","1.1","2.73972602739726e-05","539","108"
"48","48","0.615384615384615","44781","0","6.32842639593909","3.73450507614213","1210.2972972973","58.1538461538462"
"49","49","0.454545454545455","8554","1","4.02701149425287","6.95488275862069","950.444444444444","70.0909090909091"
"50","50","0.125","12223","1","","","1527.875","68.25"
"51","51","0.318181818181818","75316","0","7.86407333994053","60.1578146679881","1195.49206349206","59.0454545454545"
"52","52","0.285714285714286","17463","0","3.73409461663948","0.0272675367047308","2494.71428571429","93.4285714285714"
"53","53","0.461538461538462","32145","0","11.1378378378378","86.9594684684685","1461.13636363636","55.7307692307692"
"54","54","0.571428571428571","4621","5","4.26363636363636","2.68690909090909","660.142857142857","54.4285714285714"
"55","55","0.5","1868","3","2","0.0447615384615385","934","87"
"56","56","0.8","3766","2","6","5.644","753.2","51.6"
"57","57","0.607142857142857","16091","1","16.4526315789474","14.1733477443609","595.962962962963","46.5"
"58","58","0.4","19861","1","6.03350515463917","0.229551546391753","1986.1","69.6"
"59","59","0.1875","23682","10","4.38003442340792","6.23885542168675","1578.8","78"
"60","60","0.478260869565217","25386","1","15.1142857142857","802.327728571429","1103.73913043478","62.3478260869565"
"61","61","1","255","9","1.1","0.228091428571429","255","27"
"62","62","0.588235294117647","14985","1","4.9336815625","6.805640625","881.470588235294","44.4705882352941"
"63","63","1","3813","1","2.34255319148936","0.0520372340425532","1271","28"
"64","64","0.428571428571429","33024","0","6.61453665143051","1.25529456576943","1320.96","58.6071428571429"
